file,reason
"LECHUGA FRAN EVA.png","No matching item by name/description"
"LECHUGA FRANCESA.png","No matching item by name/description"
"LECHUGA KALE PQ.png","No matching item by name/description"
"LECHUGA ORG ITAL.png","No matching item by name/description"
"LECHUGA R.png","No matching item by name/description"
"LECHUGA ROM CAJA.png","No matching item by name/description"
"LECHUGA SANG CJ.png","No matching item by name/description"
"LECITINA SOYA.png","No matching item by name/description"
"LENTEJA CH 5.png","No matching item by name/description"
"LEVA TRADIPAN.png","No matching item by name/description"
"LEVADURA POLVO.png","No matching item by name/description"
"LICOR D NARA.png","No matching item by name/description"
"LIMON C SEMILLA.png","No matching item by name/description"
"LIMON CRISTALIZA.png","No matching item by name/description"
"LIMON R.png","No matching item by name/description"
"LIMON S SEMILLA.png","No matching item by name/description"
"LINAZA GOLDEN.png","No matching item by name/description"
"LISTON CURLY.png","No matching item by name/description"
"LLECHUGA LARGA CA.png","No matching item by name/description"
"LUCAS GUSANO.png","No matching item by name/description"
"LUNETA COLORES.png","No matching item by name/description"
"LUNETA YOGURT.png","No matching item by name/description"
"MACA POLVO.png","No matching item by name/description"
MACA.png,"No matching item by name/description"
MAGUEY.png,"No matching item by name/description"
"MAICENA KG.png","No matching item by name/description"
"MAIZ CANCHA.png","No matching item by name/description"
"MAIZ MORADO.png","No matching item by name/description"
"MAIZ POZOL BCO.png","No matching item by name/description"
"MAIZ PRECOCIDO.png","No matching item by name/description"
"MAIZ QUEBRADO.png","No matching item by name/description"
"MAIZENA SOBRE.png","No matching item by name/description"
"MANDARINA SIN SE.png","No matching item by name/description"
"MANGO B.png","No matching item by name/description"
"MANGO C.png","No matching item by name/description"
"MANGO C_CHILE.png","No matching item by name/description"
"MANGO DESHIDRATA.png","No matching item by name/description"
"MANGO L.png","No matching item by name/description"
"MANGO PETACON.png","No matching item by name/description"
"MANTE EUGENIA 90.png","No matching item by name/description"
"MANTE FLEX.png","No matching item by name/description"
"MANTE GLORIA KG.png","No matching item by name/description"
"MANTE GLORIA VDE.png","No matching item by name/description"
"MANTE REPOSTERA.png","No matching item by name/description"
"MANTECA  INCA.png","No matching item by name/description"
"MANTECA C.png","No matching item by name/description"
"MANTECA K.png","No matching item by name/description"
"MANTEQUILLA BELE.png","No matching item by name/description"
"MANTEQUILLA BLIS.png","No matching item by name/description"
"MANTEQUILLA DEYS.png","No matching item by name/description"
